Trial,Factors tested,Name,Confidence (A),Description (B),Feat. Imp. (C),Feat. Contri (E),SPAM/HAM,CORRECTNESS,Done?,Kolonne 2
0,1,A1B3C3E3,1,3,3,3,SPAM,Incorrect,TRUE,TRUE
1,1,A2B3C3E3,2,3,3,3,SPAM,Incorrect,TRUE,TRUE
2,1,A3B3C3E1,3,3,3,1,HAM,Incorrect,TRUE,TRUE
3,1,A3B3C3E2,3,3,3,2,SPAM,Correct,TRUE,TRUE
4,1,A3B3C1E3,3,3,1,3,HAM,Incorrect,TRUE,TRUE
5,1,A3B3C2E3,3,3,2,3,SPAM,Correct,TRUE,TRUE
6,1,A3B2C3E3,3,2,3,3,HAM,Incorrect,TRUE,TRUE
7,1,A3B1C3E3,3,1,3,3,HAM,Incorrect,TRUE,TRUE
8,2,A2B3C3E1,2,3,3,1,SPAM,Incorrect,TRUE,TRUE
9,2,A2B2C3E3,2,2,3,3,SPAM,Correct,TRUE,TRUE
10,2,A1B3C3E1,1,3,3,1,HAM,Incorrect,TRUE,TRUE
11,2,A1B1C3E3,1,1,3,3,HAM,Incorrect,TRUE,TRUE
12,2,A1B3C1E3,1,3,1,3,SPAM,Correct,TRUE,TRUE
13,2,A1B3C3E2,1,3,3,2,HAM,Correct,TRUE,TRUE
14,2,A1B2C3E3,1,2,3,3,HAM,Correct,TRUE,TRUE
15,2,A1B3C2E3,1,3,2,3,HAM,Incorrect,TRUE,TRUE
16,2,A3B1C3E1,3,1,3,1,SPAM,Correct,TRUE,TRUE
17,2,A3B1C3E2,3,1,3,2,HAM,Correct,TRUE,TRUE
18,2,A2B3C2E3,2,3,2,3,SPAM,Correct,TRUE,TRUE
19,2,A2B3C1E3,2,3,1,3,SPAM,Correct,TRUE,TRUE
20,2,A3B2C1E3,3,2,1,3,HAM,Incorrect,TRUE,TRUE
21,2,A3B2C2E3,3,2,2,3,SPAM,Incorrect,TRUE,TRUE
22,2,A3B2C3E1,3,2,3,1,SPAM,Incorrect,TRUE,TRUE
23,2,A3B2C3E2,3,2,3,2,HAM,Correct,TRUE,TRUE
24,2,A3B1C1E3,3,1,1,3,SPAM,Correct,TRUE,TRUE
25,2,A2B3C3E2,2,3,3,2,SPAM,Incorrect,TRUE,TRUE
26,2,A2B1C3E3,2,1,3,3,HAM,Correct,TRUE,TRUE
27,2,A3B1C2E3,3,1,2,3,SPAM,Correct,TRUE,TRUE
28,3,A2B1C1E3,2,1,1,3,SPAM,Correct,TRUE,TRUE
29,3,A1B2C3E2,1,2,3,2,SPAM,Incorrect,TRUE,TRUE
30,3,A1B1C3E1,1,1,3,1,HAM,Correct,TRUE,TRUE
31,3,A1B1C2E3,1,1,2,3,HAM,Incorrect,TRUE,TRUE
32,3,A2B2C1E3,2,2,1,3,SPAM,Correct,TRUE,TRUE
33,3,A2B1C2E3,2,1,2,3,HAM,Incorrect,TRUE,TRUE
34,3,A2B1C3E1,2,1,3,1,SPAM,Incorrect,TRUE,TRUE
35,3,A2B1C3E2,2,1,3,2,HAM,Correct,TRUE,TRUE
36,3,A2B2C3E1,2,2,3,1,HAM,Correct,TRUE,TRUE
37,3,A2B2C2E3,2,2,2,3,SPAM,Incorrect,TRUE,TRUE
38,3,A2B2C3E2,2,2,3,2,HAM,Correct,TRUE,TRUE
39,3,A1B1C1E3,1,1,1,3,HAM,Correct,TRUE,TRUE
40,3,A1B2C3E1,1,2,3,1,SPAM,Incorrect,TRUE,TRUE
41,3,A1B2C2E3,1,2,2,3,HAM,Correct,TRUE,TRUE
42,3,A1B2C1E3,1,2,1,3,SPAM,Incorrect,TRUE,TRUE
43,3,A1B1C3E2,1,1,3,2,HAM,Incorrect,TRUE,TRUE
